recid,Code,Check,Unit,Name
1682,2306909020,3,KG,"OIL-CAKE AND OTHER SOLID RESIDUES, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS, RESULTING FROM THE EXTRACTION OF VEGETABLE FATS OR OILS, OTHER THAN THOSE OF HEADING 23.04 OR 23.05.OTHER: OTHER: *"
1683,2306909090,3,KG,"OIL-CAKE AND OTHER SOLID RESIDUES, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS, RESULTING FROM THE EXTRACTION OF VEGETABLE FATS OR OILS, OTHER THAN THOSE OF HEADING 23.04 OR 23.05.OTHER: OTHER: *"
1684,2307000000,4,KG,WINE LEES; ARGOL.
1685,2308000000,5,KG,"VEGETABLE MATERIALS AND VEGETABLE WASTE, VEGETABLE RESIDUES AND BY-PRODUCTS, WHETHER OR NOT IN THE FORM OF PELLETS, OF A KIND USED IN ANIMAL FEEDING, NOT ELSEWHERE SPECIFIED OR INCLUDED."
1686,2309101000,3,KG,"PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.DOG OR CAT FOOD, PUT UP FOR RETAIL SALE: CONTAINING MEAT"
1687,2309109000,2,KG,"PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.DOG OR CAT FOOD, PUT UP FOR RETAIL SALE: OTHER"
1688,2309901100,3,KG,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.OTHER: COMPLETE FEED: OF A KIND SUITABLE FOR POULTRY
1689,2309901200,5,KG,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING OTHER: COMPLETE FEED: OF A KIND SUITABLE FOR SWINE
1690,2309901300,0,KG,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING OTHER: COMPLETE FEED: OF A KIND SUITABLE FOR PRAWNS
1691,2309901400,2,KG,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.OTHER: COMPLETE FEED: OF A KIND SUITABLE FOR PRIMATES
1692,2309901900,5,KG,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.OTHER: COMPLETE FEED: OTHER
1693,2309902000,0,KG,"PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.OTHER: PREMIXES, FEED SUPPLEMENTS OR FEED ADDITIVES"
1694,2309903000,6,KG,"PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.OTHER: OTHER, CONTAINING MEAT"
1695,2309909000,0,KG,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING.OTHER: OTHER
1696,2401101010,0,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO, NOT STEMMED/STRIPPED: VIRGINIA TYPE, FLUE-CURED: FOR CIGARETTE"
1697,2401101090,3,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO, NOT STEMMED/STRIPPED: VIRGINIA TYPE, FLUE-CURED:OTHER"
1698,2401102010,6,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO, NOT STEMMED/STRIPPED: VIRGINIA TYPE, OTHER THAN FLUE-CURED:FOR CIGARETTE"
1699,2401102090,2,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO, NOT STEMMED/STRIPPED: VIRGINIA TYPE, OTHER THAN FLUE-CURED:OTHER"
1700,2401104000,1,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUS.TOBACCO , NOT STEMMED/STRIPPED: BURLEY TYPE"
1701,2401105000,0,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO,NOT STEMMED/STRIPPED: OTHER, FLUE-CURED"
1702,2401109010,6,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO,NOT STEMMED/STRIPPED: OTHER:FOR CIGARETTE"
1703,2401109090,2,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO,NOT STEMMED/STRIPPED: OTHER:OTHER"
1704,2401201010,5,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED: VIRGINIA TYPE, FLUE-CURED:FOR CIGARETTE"
1705,2401201090,1,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED: VIRGINIA TYPE, FLUE-CURED:OTHER"
1706,2401202010,4,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED: VIRGINIA TYPE, OTHER THAN FLUE-CURED: FOR CIGARETTE"
1707,2401202090,0,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED: VIRGINIA TYPE, OTHER THAN FLUE-CURED:OTHER"
1708,2401203010,3,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED:ORIENTAL TYPE: FOR CIGARETTE"
1709,2401203090,6,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED:ORIENTAL TYPE: OTHER"
1710,2401204010,2,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED:BURLEY TYPE:FOR CIGARETTE"
1711,2401204090,5,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED:BURLEY TYPE: OTHER"
1712,2401205010,1,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED:OTHER,FLUE-CURED: FOR CIGARETTE"
1713,2401205090,4,KG,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE.TOBACCO ,PARTY OR WHOLLY STEMMED/ STRIPPED:OTHER,FLUE-CURED:OTHER"
1714,2401209010,4,KG,UNMANUFACTURED TOBACCO; TOBACCO REFUSE. OTHER: FOR CIGARETTE
1715,2401209090,0,KG,UNMANUFACTURED TOBACCO; TOBACCO REFUSE. OTHER: OTHER
1716,2401301000,0,KG,UNMANUFACTURED TOBACCO; TOBACCO REFUSE. TOBACCO REFUSE:TOBACCO STEMS
1717,2401309000,6,KG,UNMANUFACTURED TOBACCO; TOBACCO REFUSE. TOBACCO REFUSE:OTHER
1718,2402100000,6,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES.CIGARS, CHEROOTS AND CIGARILLOS, CONTAINING TOBACCO"
1719,2402201010,6,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES.CIGARETTES CONTAINING TOBACCO: BEEDIES:CIGARS"
1720,2402201020,2,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES.CIGARETTES CONTAINING TOBACCO: BEEDIES: CHEROOTS"
1721,2402201030,5,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES.CIGARETTES CONTAINING TOBACCO:BEEDIES: CIGARILLOS"
1722,2402202000,2,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES.CIGARETTES CONTAINING TOBACCO:CLOVE CIGARETTES"
1723,2402209000,2,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUS,OTHER"
1724,2402901000,3,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES.OTHER:CIGARS, CHEROOTS AND CIGARILLOS OF TOBACCO SUBSTITUTES"
1725,2402902000,2,KG,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES.OTHER: CIGARETTES OF TOBACCO SUBSTITUTES"
1726,2403110000,4,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.SMOKING TOBACCO, WHETHER OR NOT CONTAINING TOBACCO SUBSTITUTES*"
1727,2403191100,2,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.SMOKING TOBACCO, WHETHER OR NOT CONTAINING TOBACCO SUBSTITUTES*"
1728,2403191900,4,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.SMOKING TOBACCO, WHETHER OR NOT CONTAINING TOBACCO SUBSTITUTES*"
1729,2403192000,6,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.SMOKING TOBACCO, WHETHER OR NOT CONTAINING TOBACCO SUBSTITUTES*"
1730,2403199000,6,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.SMOKING TOBACCO, WHETHER OR NOT CONTAINING TOBACCO SUBSTITUTES*"
1731,2403911000,1,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.OTHER:""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO:PACKED FOR RET*"
1732,2403919000,0,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.OTHER:""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO: OTHER"
1733,2403991000,5,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.OTHER: TOBACCO EXTRACTS AND ESSENCES"
1734,2403993000,3,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.OTHER: MANUFACTURED TOBACCO SUBSTITUTES"
1735,2403994000,2,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.OTHER: SNUFF,WHETHER OR NOT DRY"
1736,2403995000,1,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.OTHER: CHEWING AND SUCKING TOBACCO"
1737,2403999000,4,KG,"OTHER MANUFACTURED TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; ""HOMOGENISED"" OR ""RECONSTITUTED"" TOBACCO; TOBACCO EXTRACTS AND ESSENCES.OTHER: OTHER"
1738,2501001000,1,KG,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE-FLOWING AGENTS; SEA WATER.TABLE SALT"
1739,2501002000,0,KG,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE-FLOWING AGENTS; SEA WATER.ROCK SALT"
1740,2501005000,4,KG,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE-FLOWING AGENTS; SEA WATER.SEA WATER"
1741,2501009000,0,KG,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE-FLOWING AGENTS; SEA WATER.OTHER"
1742,2502000000,3,KG,UNROASTED IRON PYRITES.
1743,2503000000,4,KG,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR,PRECIPITATED SULPHUR AND COLLOIDAL SULPHUR."
1744,2504100000,3,KG,NATURAL GRAPHITE.IN POWDER OR IN FLAKES
1745,2504900000,1,KG,NATURAL GRAPHITE..OTHER
1746,2505100000,4,KG,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26.SILICA SANDS AND QUARTZ SANDS"
1747,2505900000,2,KG,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26.OTHER"
1748,2506100000,5,KG,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE.QUARTZ"
1749,2506200000,3,KG,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE.QUARTZITE"
1750,2507000000,1,KG,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER OR NOT CALCINED."
1751,2508100000,0,KG,"OTHER CLAYS (NOT INCLUDING EXPANDED CLAYS OF HEADING 68.06), ANDALUSITE, KYANITE AND SILLIMANITE, WHETHER OR NOT CALCINED; MULLITE; CHAMOTTE OR DINAS EARTHS.BENTONITE"
1752,2508300000,3,KG,"OTHER CLAYS (NOT INCLUDING EXPANDED CLAYS OF HEADING 68.06), ANDALUSITE, KYANITE AND SILLIMANITE, WHETHER OR NOT CALCINED; MULLITE; CHAMOTTE OR DINAS EARTHS.FIRE-CLAY"
1753,2508401000,0,KG,"OTHER CLAYS (NOT INCLUDING EXPANDED CLAYS OF HEADING 68.06), ANDALUSITE, KYANITE AND SILLIMANITE, WHETHER OR NOT CALCINED; MULLITE; CHAMOTTE OR DINAS EARTHS.OTHER CLAYS: FULLER'S EARTH"
1754,2508409000,6,KG,"OTHER CLAYS (NOT INCLUDING EXPANDED CLAYS OF HEADING 68.06), ANDALUSITE, KYANITE AND SILLIMANITE, WHETHER OR NOT CALCINED; MULLITE; CHAMOTTE OR DINAS EARTHS.OTHER CLAYS: OTHER"
1755,2508500000,6,KG,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE.ANDALUSITE, KYANITE*"
1756,2508600000,4,KG,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE.MULLITE"
1757,2508700000,2,KG,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE.CHAMOTTE OR DINAS E*"
1758,2509000000,3,KG,CHALK.
1759,2510101000,1,KG,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINIUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK.UNGROUND: APATITE"
1760,2510109000,0,KG,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINIUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK.UNGROUND: OTHER"
1761,2510201000,6,KG,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINIUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK.GROUND: APATITE"
1762,2510209000,5,KG,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINIUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK.GROUND: OTHER"
1763,2511100000,3,KG,"NATURAL BARIUM SULPHATE (BARYTES); NATURAL BARIUM CARBONATE (WITHERITE), WHETHER OR NOT CALCINED, OTHER THAN BARIUM OXIDE OF HEADING 28.16.NATURAL BARIUM SULPHATE (BARYTES)"
1764,2511200000,1,KG,"NATURAL BARIUM SULPHATE (BARYTES); NATURAL BARIUM CARBONATE (WITHERITE), WHETHER OR NOT CALCINED, OTHER THAN BARIUM OXIDE OF HEADING 28.16.NATURAL BARIUM CARBONATE (WITHERITE)"
1765,2512000000,6,KG,"SILICEOUS FOSSIL MEALS (FOR EXAMPLE, KIESELGUHR,TRIPOLITE AND DIATOMITE) AND SIMILAR SILICEOUS EARTHS, WHETHER OR NOT CALCINED, OF AN APPARENT SPECIFIC GRAVITY OF 1 OR LESS."
1766,2513100000,5,KG,"PUMICE STONE; EMERY; NATURAL CORUNDUM, NATURAL GARNET AND OTHER NATURAL ABRASIVES, WHETHER OR NOT HEAT-TREATED.PUMICE STONE"
1767,2513200000,3,KG,"PUMICE STONE; EMERY; NATURAL CORUNDUM, NATURAL GARNET AND OTHER NATURAL ABRASIVES, WHETHER OR NOT HEAT-TREATED.EMERY, NATURAL CORUNDUM, NATURAL GARNET AND OTHER NATURAL ABRASIVES"
1768,2514000000,1,KG,"SLATE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE."
1769,2515110000,4,KG,"MARBLE, TRAVERTINE, ECAUSSINE AND OTHER CALCAREOUS MONUMENTAL OR BUILDING STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING *"
1770,2515121000,0,KG,"MARBLE, TRAVERTINE, ECAUSSINE AND OTHER CALCAREOUS MONUMENTAL OR BUILDING STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING *"
1771,2515122000,6,KG,"MARBLE, TRAVERTINE, ECAUSSINE AND OTHER CALCAREOUS MONUMENTAL OR BUILDING STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING *"
1772,2515200000,5,KG,"MARBLE, TRAVERTINE, ECAUSSINE AND OTHER CALCAREOUS MONUMENTAL OR BUILDING STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING *"
1773,2516110000,5,KG,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER MONUMENTAL OR BUILDING STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQU*"
1774,2516121000,1,KG,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER MONUMENTAL OR BUILDING STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQU*"
1775,2516122000,0,KG,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER MONUMENTAL OR BUILDING STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQU*"
1776,2516201000,5,KG,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER MONUMENTAL OR BUILDING STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQU*"
1777,2516202000,4,KG,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER MONUMENTAL OR BUILDING STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQU*"
1778,2516900000,6,KG,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER MONUMENTAL OR BUILDING STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQU*"
1779,2517100000,2,KG,"PEBBLES, GRAVEL, BROKEN OR CRUSHED STONE, OF A KIND COMMONLY USED FOR CONCRETE AGGREGATES, FOR ROAD METALLING OR FOR RAILWAY OR OTHER BALLAST, SHINGLE AND FLINT, WHETHER OR NOT HEAT-TREATED; MACADAM *"
1780,2517200000,0,KG,"PEBBLES, GRAVEL, BROKEN OR CRUSHED STONE, OF A KIND COMMONLY USED FOR CONCRETE AGGREGATES, FOR ROAD METALLING OR FOR RAILWAY OR OTHER BALLAST, SHINGLE AND FLINT, WHETHER OR NOT HEAT-TREATED; MACADAM *"
1781,2517300000,5,KG,"PEBBLES, GRAVEL, BROKEN OR CRUSHED STONE, OF A KIND COMMONLY USED FOR CONCRETE AGGREGATES, FOR ROAD METALLING OR FOR RAILWAY OR OTHER BALLAST, SHINGLE AND FLINT, WHETHER OR NOT HEAT-TREATED; MACADAM *"
1782,2517410000,0,KG,"PEBBLES, GRAVEL, BROKEN OR CRUSHED STONE, OF A KIND COMMONLY USED FOR CONCRETE AGGREGATES, FOR ROAD METALLING OR FOR RAILWAY OR OTHER BALLAST, SHINGLE AND FLINT, WHETHER OR NOT HEAT-TREATED; MACADAM *"
1783,2517490000,4,KG,"PEBBLES, GRAVEL, BROKEN OR CRUSHED STONE, OF A KIND COMMONLY USED FOR CONCRETE AGGREGATES, FOR ROAD METALLING OR FOR RAILWAY OR OTHER BALLAST, SHINGLE AND FLINT, WHETHER OR NOT HEAT-TREATED; MACADAM *"
1784,2518100000,3,KG,"DOLOMITE, WHETHER OR NOT CALCINED OR SINTERED, INCLUDING DOLOMITE ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; DOLOMITE RAMMI*"
1785,2518200000,1,KG,"DOLOMITE, WHETHER OR NOT CALCINED OR SINTERED, INCLUDING DOLOMITE ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; DOLOMITE RAMMI*"
1786,2518300000,6,KG,"DOLOMITE, WHETHER OR NOT CALCINED OR SINTERED, INCLUDING DOLOMITE ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; DOLOMITE RAMMI*"
1787,2519100000,4,KG,"NATURAL MAGNESIUM CARBONATE (MAGNESITE); FUSED MAGNESIA; DEAD-BURNED (SINTERED) MAGNESIA, WHETHER OR NOT CONTAINING SMALL QUANTITIES OF OTHER OXIDES ADDED BEFORE SINTERING; OTHER MAGNESIUM OXIDE, WHE*"
1788,2519901000,1,KG,"NATURAL MAGNESIUM CARBONATE (MAGNESITE); FUSED MAGNESIA; DEAD-BURNED (SINTERED) MAGNESIA, WHETHER OR NOT CONTAINING SMALL QUANTITIES OF OTHER OXIDES ADDED BEFORE SINTERING; OTHER MAGNESIUM OXIDE, WHE*"
1789,2519902000,0,KG,"NATURAL MAGNESIUM CARBONATE (MAGNESITE); FUSED MAGNESIA; DEAD-BURNED (SINTERED) MAGNESIA, WHETHER OR NOT CONTAINING SMALL QUANTITIES OF OTHER OXIDES ADDED BEFORE SINTERING; OTHER MAGNESIUM OXIDE, WHE*"
1790,2520100010,1,KG,"ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCIUM SULPHATE) WHETHER OR NOT COLOURED, WITH OR WITHOUT SMALL QUANTITIES OF ACCELERATORS OR RETARDERS.GYPSUM; ANHYDRITE: GYPSUM"
1791,2520100020,4,KG,"ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCIUM SULPHATE) WHETHER OR NOT COLOURED, WITH OR WITHOUT SMALL QUANTITIES OF ACCELERATORS OR RETARDERS.GYPSUM; ANHYDRITE: ANHYDRITE"
1792,2520201000,2,KG,"GYPSUM; ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCIUM SULPHATE) WHETHER OR NOT COLOURED, WITH OR WITHOUT SMALL QUANTITIES OF ACCELERATORS OR RETARDERS.PLASTERS: OF A KIND SUITABLE FO*"
1793,2520209000,1,KG,"GYPSUM; ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCIUM SULPHATE) WHETHER OR NOT COLOURED, WITH OR WITHOUT SMALL QUANTITIES OF ACCELERATORS OR RETARDERS.PLASTERS: OTHER"
1794,2521000000,1,KG,"LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONE, OF A KIND USED FOR THE MANUFACTURE OF LIME OR CEMENT."
1795,2522100000,0,KG,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 28.25.QUICKLIME"
1796,2522200000,5,KG,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 28.25.SLAKED LIME"
1797,2522300000,3,KG,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 28.25.HYDRAULIC LIME"
1798,2523101000,0,KG,"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS.CEMENT CLINKERS: OF A KIND USED IN THE MANUFAC*"
1799,2523109000,6,KG,"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS.CEMENT CLINKERS: OTHER"
1800,2523210000,3,KG,"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULPHATE CEMENT AND SIMILAR HYDRAULIC CEMENTS, WHETHER OR NOT COLOURED OR IN THE FORM OF CLINKERS.PORTLAND CEMENT: WHITE CEMENT, WHETHER OR NOT *"
