52,PACL,Import,Export,,NUMBER OF PRE-APPLICATION FOR DECLARATION IN OUTSIDE CUSTOMS CLEARANCE LOCATION (ImportExport)
53,PBCL,Import,,,NUMBER OF PRE-APP: FOR INTO BOND&PRE-APP: FOR DECLARATION IN OUTSIDE CUSTOMS CLEARANCE LOCATION (Import)
54,PCAP,Import,Export,,PREINSPECTION CERTIFICATE FOR AGRICULTURAL PRODUCTS (ImportExport)
55,PLAD,Import,,,NUMBER OF OGA TEST APPLICATION BY MACCS AFTER DECLARATION FOR PLANT (Import)
56,PLAR,Import,,,NUMBER OF OGA TEST APPLICATION BY MACCS AFTER RELEASE ORDER FOR PLANT (Import)
57,PLBA,Import,,,OGA TEST APPLICATION NO. BY MACCS ISSUED BEFORE DECLARATION (ALL APPROVAL) FOR PLANT (Import)
58,PLBP,Import,,,OGA TEST APPLICATION NO. BY MACCS ISSUED BEFORE DECLARATION (PART DISAPPROVAL) FOR PLANT (Import)
59,PLNM,Import,Export,Transit,OGA TEST APPROVAL NO. BY MANUAL FOR PLANT (ImportExportTransit)
60,RRAM,Import,Export,,RECOMMENDATION LETTER FOR RADIOACTIVE MATERIALS (ImportExport)
61,SCMP,Import,Export,,SALE CONTRACT FOR CMP (ImportExport)
62,SPMP,Import,,,STORAGE PERMIT FROM MYANMAR POLICE FORCE (Import)
63,SZEM,Import,,,EXPORT DECLARATION NO. BY MANUAL CORRESPONDINGTO THE IMPORT TO/FROM THE FREE ZONE BUSINESS (Import)
64,SZEX,Import,,,EXPORT DECLARATION NO. BY SYSTEM CORRESPONDINGTO THE IMPORT TO/FROM THE FREE ZONE BUSINESS (Import)
65,SZIM,,Export,,IMPORT DECLARATION NO. CORRESPONDINGTO THE EXPORT TO/FROM THE FREE ZONE BUSINESS (Export)
66,TADC,Import,Export,,TEMPORARY ADMISSION DUMMY CODE (ImportExport)
67,TDIM,Import,,,NUMBER OF TRANSIT DECLARATION IN CASE OF IMPORT CARGO (Import)
68,TRBI,Import,,,TEST RESULT FOR BITUMEN (Import)
69,TREO,Import,,,TEST RESULT FOR ESSENTIAL OIL (Import)
70,TRLU,Import,,,TEST RESULT FOR LUBRICANT (Import)
